season,episode,code,index_title,title,words,url,file
2,07,0207,207 Ross Finds Out,The One Where Ross Finds Out,3201,https://edersoncorbari.github.io/friends-scripts/season/0207.html,transcripts/season-02/s02e07-207-ross-finds-out.txt
2,08,0208,208 The List,The One With the List,3256,https://edersoncorbari.github.io/friends-scripts/season/0208.html,transcripts/season-02/s02e08-208-the-list.txt
2,09,0209,209 Phoebe's Dad,The One With Phoebe's Dad,3336,https://edersoncorbari.github.io/friends-scripts/season/0209.html,transcripts/season-02/s02e09-209-phoebe-s-dad.txt
2,10,0210,210 Russ,The One With Russ,3632,https://edersoncorbari.github.io/friends-scripts/season/0210.html,transcripts/season-02/s02e10-210-russ.txt
2,11,0211,211 The Lesbian Wedding,The One With the Lesbian Wedding,3116,https://edersoncorbari.github.io/friends-scripts/season/0211.html,transcripts/season-02/s02e11-211-the-lesbian-wedding.txt
2,12-13,0212-0213,212-213 The Superbowl,The One After the Superbowl,6362,https://edersoncorbari.github.io/friends-scripts/season/0212-0213.html,transcripts/season-02/s02e12-13-212-213-the-superbowl.txt
2,14,0214,214 The Prom Video,The One With the Prom Video,3573,https://edersoncorbari.github.io/friends-scripts/season/0214.html,transcripts/season-02/s02e14-214-the-prom-video.txt
2,15,0215,215 Ross And Rachel... You Know,The One Where Rachel and Ross... You Know,3016,https://edersoncorbari.github.io/friends-scripts/season/0215.html,transcripts/season-02/s02e15-215-ross-and-rachel-you-know.txt
2,16,0216,216 Joey Moves Out,The One Where Joey Moves Out,3353,https://edersoncorbari.github.io/friends-scripts/season/0216.html,transcripts/season-02/s02e16-216-joey-moves-out.txt
2,17,0217,217 Eddie Moves In,The One Where Eddie Moves In,3277,https://edersoncorbari.github.io/friends-scripts/season/0217.html,transcripts/season-02/s02e17-217-eddie-moves-in.txt
2,18,0218,218 Dr. Ramoray Dies,The One Where Dr. Remore Dies,3230,https://edersoncorbari.github.io/friends-scripts/season/0218.html,transcripts/season-02/s02e18-218-dr-ramoray-dies.txt
