season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
5,5,0505,Tipping Points,1,1,1,1,9,Usually fine — about 9+,Affairs / cheating — “The Council will not engage or involve the Republic in an internal affair.”
5,6,0506,The Gathering,1,1,1,1,9,Usually fine — about 9+,
5,7,0507,A Test of Strength,1,1,1,1,9,Usually fine — about 9+,
5,8,0508,Bound for Rescue,1,1,1,1,9,Usually fine — about 9+,"Affairs / cheating — “Don't ask me why, but Dooku holds such a grudge against me since our little ""I held him hostage"" affair.”"
5,9,0509,A Necessary Bond,1,1,1,1,9,Usually fine — about 9+,
5,10,0510,Secret Weapons,1,1,1,1,9,Usually fine — about 9+,
5,11,0511,A Sunny Day in the Void,1,1,1,1,9,Usually fine — about 9+,
5,12,0512,Missing in Action,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “You want your freedom, Gregor? Take your gun from me.”"
5,13,0513,Point of No Return,1,1,1,1,9,Usually fine — about 9+,
5,14,0514,Eminence,1,1,1,1,9,Usually fine — about 9+,
5,15,0515,Shades of Reason,3,1,1,3,10,Preview first — about 10+,Violence & injury — “He's a murderer.”
5,16,0516,The Lawless,1,1,1,1,9,Usually fine — about 9+,"Affairs / cheating — “Without involvement from the Separatists, this is an internal affair for the Mandalorians.”"
5,17,0517,Sabotage,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “Jackar is dead, and now you're trying to blame his murder on me.”"
5,18,0518,The Jedi Who Knew Too Much,1,1,1,1,9,Usually fine — about 9+,
5,19,0519,To Catch a Jedi,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “Ahsoka Tano on the run! After an attack on the Jedi Temple, Anakin Skywalker's young Padawan found herself accused of murdering the person responsible for the bombings.”"
5,20,0520,The Wrong Jedi,3,1,1,3,10,Preview first — about 10+,"Violence & injury — “Ahsoka Tano captured! While on the run to prove her innocence, Padawan Tano teamed up with the deadly Asajj Ventress to find the rogue Jedi who framed Ahsoka for murder.”"
6,1,0601,The Unknown,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “You murdered General Tiplar.”
6,2,0602,Conspiracy,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “There does not seem to be any sign of infection in the blood.”
6,3,0603,Fugitive,1,1,1,1,9,Usually fine — about 9+,
6,4,0604,Orders,1,1,1,1,9,Usually fine — about 9+,
6,5,0605,An Old Friend,1,1,1,1,9,Usually fine — about 9+,Affairs / cheating — “I'm afraid I'm going to have to report on your sad state of affairs to the Chancellor.”
6,6,0606,The Rise of Clovis,1,1,1,1,9,Usually fine — about 9+,
6,7,0607,Crisis at the Heart,1,1,1,1,9,Usually fine — about 9+,
6,8,0608,The Disappeared: Pt. 1,1,1,1,1,9,Usually fine — about 9+,
6,9,0609,The Disappeared: Pt. 2,1,1,1,1,9,Usually fine — about 9+,
6,10,0610,The Lost One,1,1,1,1,9,Usually fine — about 9+,"Sex & hookups — “They use a very ancient dialect, which is hard to understand, but from what I can make out, when Master Sifo-Dyas died, he was not alone.”"
6,11,0611,Voices,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “The Jedi have learned that before the start of the war Count Dooku murdered Sifo-Dyas and skillfully manipulated the Republic into the galactic conflict, intending for the Jedi to fight with the clones at their side.”"
6,12,0612,Destiny,1,1,1,1,9,Usually fine — about 9+,
6,13,0613,Sacrifice,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “For in fighting the battles, the bloodshed already lost we have.”"
7,1,0701,The Bad Batch,1,1,1,1,9,Usually fine — about 9+,
7,2,0702,A Distant Echo,1,1,1,1,9,Usually fine — about 9+,
7,3,0703,On the Wings of Keeradaks,1,1,1,1,9,Usually fine — about 9+,
7,4,0704,Unfinished Business,1,1,1,1,9,Usually fine — about 9+,
7,5,0705,Gone With a Trace,1,1,1,1,9,Usually fine — about 9+,Violence & injury — Good. I can only take so many punches to my head and still be considered a pilot.
7,6,0706,Deal No Deal,1,1,1,1,9,Usually fine — about 9+,
7,7,0707,Dangerous Debt,1,1,1,1,9,Usually fine — about 9+,
7,8,0708,Together Again,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — And the gun.
7,9,0709,Old Friends Not Forgotten,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — There's no time! Maul's influence on Mandalore is destroying my people! He murdered their ruler, my sister! I thought she meant something to you! She did. And still does."
7,10,0710,The Phantom Apprentice,1,1,1,1,9,Usually fine — about 9+,
7,11,0711,Shattered,1,1,1,1,9,Usually fine — about 9+,
7,12,0712,Victory and Death,1,1,1,1,9,Usually fine — about 9+,
